contractsymbol,Ticker,type,K,S,𝛔,T,r,LSMC Normal μ,LSMC Poly μ,LSMC CV μ,MC μ,BS,LSMC Poly SE,LSMC Normal SE,LSMC CV SE,MC SE,LSMC Normal CI,LSMC Poly CI,LSMC CV CI,MC CI,Observed,LSMC Normal error,LSMC Poly error,LSMC CV error,MC error,BS error,LSMC Normal Early Exercise,LSMC Poly Early Exercise,LSMC CV Early Exercise,MC Early Exercise
IWM230317C00185000,iwm,Call,185.0,197.0500030517578,0.2989572058105468,340,0.0277999997138977,13.630558453155098,36.69577000890191,34.569696610171405,35.92968926637544,36.358066028790134,0.18025575136945607,0.5455489952454604,0.21372471666072348,0.18406727331972214,"[12.616083889673844, 14.645033016636352]","[36.36057578019063, 37.03096423761319]","[34.17226523273483, 34.96712798760798]","[35.58740732950157, 36.27197120324931]",27.79,14.159441546844901,8.90577000890191,6.779696610171406,8.139689266375441,8.568066028790135,22.727507575635038,0.33770398011177605,1.7883694186187284,0.42837676241469325
IWM230317C00185000,iwm,Call,185.0,202.59,0.2919992675781249,331,0.0283999991416931,17.546616283605953,40.59696128604862,36.6669989936613,39.91573743365004,39.296922430809985,0.20850456989786934,0.008774439266416733,0.5243846887290247,0.22470520106376596,"[17.530299792287725, 17.56293277492418]","[40.20923702228049, 40.984685549816746]","[35.69188047482822, 37.64211751249439]","[39.49788731799074, 40.333587549309335]",30.84,13.293383716394047,9.756961286048618,5.826998993661302,9.075737433650037,8.456922430809986,21.750306147204032,1.3000388552386326,2.6299234371486833,0.6188150028400514
IWM230317C00185000,iwm,Call,185.0,191.84,0.2883371948242186,326,0.0282599997520446,7.348630991828581,31.508968209709014,31.572553605677367,30.893827705619927,31.43674215284925,0.22146861727480988,0.013467458489726782,0.2239115869933011,0.14751235113441868,"[7.323587605823589, 7.373674377833573]","[31.097136677082744, 31.920799742335284]","[31.15617925350535, 31.988927957849384]","[30.619521402557538, 31.168134008682316]",23.86,16.511369008171418,7.648968209709015,7.712553605677368,7.033827705619927,7.576742152849249,24.088111161020667,0.07222605685976546,0.13581145282811846,0.5429144472293217
IWM230317C00185000,iwm,Call,185.0,189.16,0.2777019252014159,318,0.0296000003814697,6.201521910284913,28.27094560497389,28.39942204937902,28.540096414443106,28.650074320369953,0.14738383202593947,0.0197734217532437,0.30957333199566384,0.19845808805838855,"[6.164752282668557, 6.238291537901269]","[27.99687828936746, 28.54501292058032]","[27.823755567397075, 28.975088531360964]","[28.171054066263594, 28.909138762622618]",21.130000000000003,14.928478089715089,7.140945604973886,7.269422049379017,7.410096414443103,7.52007432036995,22.44855241008504,0.37912871539606385,0.25065227099093335,0.10997790592684709
IWM230317C00185000,iwm,Call,185.0,182.93,0.2706982110595703,315,0.0312299990653991,12.165088326482236,24.557843129141137,24.334619025250575,24.402508681603457,24.298537546373424,0.11339353479393505,0.08152367503403049,0.07567199522479186,0.12902872644279229,"[12.013491136561054, 12.316685516403417]","[24.346982404047296, 24.768703854234978]","[24.193903315034877, 24.475334735466273]","[24.162573566562692, 24.642443796644223]",16.965,4.799911673517764,7.592843129141137,7.369619025250575,7.4375086816034575,7.3335375463734245,12.133449219891189,0.25930558276771265,0.03608147887715063,0.10397113523003298
IWM230317C00185000,iwm,Call,185.0,176.21,0.274848560180664,312,0.030789999961853,13.172271660479211,19.855785779884695,21.18440873682603,20.949107207656454,20.60636562433247,0.13473078543543043,0.11838241607639814,0.0904571729749391,0.08956910163105114,"[12.952133870987133, 13.39240944997129]","[19.60524741223433, 20.10632414753506]","[21.01619927834062, 21.35261819531144]","[20.782549160495748, 21.11566525481716]",13.855,0.6827283395207893,6.000785779884694,7.329408736826029,7.094107207656453,6.751365624332468,7.4340939638532575,0.750579844447774,0.5780431124935603,0.34274158332398486
IWM230317C00185000,iwm,Call,185.0,171.66,0.2784190811157226,310,0.0292100000381469,11.698468763258063,17.856988275890675,18.388694127464824,18.704039444474077,18.24529417149101,0.19023797728235797,0.10723653356864132,0.13791130759380454,0.09528346258479911,"[11.499057277709744, 11.897880248806382]","[17.50323161857295, 18.2107449332084]","[18.132241426076554, 18.645146828853093]","[18.52685526861613, 18.881223620332023]",11.995000000000001,0.29653123674193793,5.861988275890674,6.393694127464823,6.709039444474076,6.25029417149101,6.546825408232948,0.388305895600336,0.1433999559738126,0.4587452729830659
IWM230317C00185000,iwm,Call,185.0,178.31,0.2718273501586914,302,0.0285500001907348,14.08544530943463,20.361626323115313,20.78986739042059,20.69429967579837,20.885045563118723,0.1080767478966499,0.09277732202835658,0.10503020615150406,0.1547131520493948,"[13.912921422330175, 14.257969196539086]","[20.16065241866225, 20.562600227568378]","[20.59455867669094, 20.985176104150238]","[20.406603137525945, 20.981996214070794]",14.445,0.3595546905653695,5.916626323115313,6.344867390420589,6.249299675798369,6.440045563118723,6.799600253684092,0.5234192400034097,0.09517817269813378,0.1907458873203538
IWM230317C00185000,iwm,Call,185.0,173.2,0.2757335610961914,301,0.0278699994087219,11.889327932880917,17.838192633892483,18.856224656068076,18.049173231428927,18.338811380901518,0.12625839195410246,0.08112351023159235,0.130191072096177,0.13973178285225243,"[11.738474868632796, 12.040180997129038]","[17.60340908891344, 18.072976178871524]","[18.614128103448635, 19.098321208687516]","[17.789335268846454, 18.3090111940114]",12.32,0.4306720671190831,5.5181926338924825,6.536224656068075,5.729173231428927,6.018811380901518,6.449483448020601,0.5006187470090353,0.5174132751665574,0.2896381494725908
IWM230317C00185000,iwm,Call,185.0,177.83,0.2714306256103516,298,0.0285899996757507,13.246126967041015,19.618889729058118,20.77675608874991,20.101262360618968,20.418250969479857,0.13072041029554674,0.11045496156110463,0.11263803309075891,0.08726645657761835,"[13.040730660035402, 13.451523274046627]","[19.375808846628853, 19.861970611487383]","[20.567300255365556, 20.986211922134263]","[19.938986192548484, 20.263538528689452]",14.16,0.9138730329589855,5.458889729058118,6.616756088749909,5.941262360618968,6.258250969479857,7.172124002438842,0.7993612404217387,0.3585051192700526,0.3169886088608891
